popularityScore,productType,SKU,,eagleSticksPerBundle, eagleBundlesPerTruckLoad, eagleSticksPerTruckload, length,calculatedSticksPerBundle
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"3"" SDR21 PVC PIPE  IPS ",GASKETED,75,16,1200,20',75
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"4"" SDR21 PVC PIPE  IPS ",GASKETED,76,12,912,20',76
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"6"" SDR21 PVC PIPE  IPS ",GASKETED, 28 / 35, 4 / 8,392,20',28
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"8"" SDR21 PVC PIPE  IPS ",GASKETED, 25 / 30, 4 / 4,220,20',25
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"10"" SDR21 PVC PIPE  IPS ",GASKETED, 16 / 20, 4 / 4,144,20',16
7,SDR 21 CL200 (Irrigation) Thin Wall (NSF),"12"" SDR21 PVC PIPE  IPS ",GASKETED, 9 / 12 / 12 / 16, 2 / 2 / 2 / 2,98,20',12
,, C900 Blue Waterline Pipe (NSF),,,,,,
4,C900 Blue Waterline Pipe (NSF),"4"" DR14 PVC PIPE C900",GASKETED,60,12,720,20',60
4,C900 Blue Waterline Pipe (NSF),"6"" DR14 PVC PIPE C900",GASKETED,28,12,336,20',28
4,C900 Blue Waterline Pipe (NSF),"8"" DR14 PVC PIPE C900",GASKETED,15,12,180,20',15
8,C900 Blue Waterline Pipe (NSF),"10"" DR14 PVC PIPE C900",GASKETED,16,8,128,20',16
8,C900 Blue Waterline Pipe (NSF),"12"" DR14 PVC PIPE C900",GASKETED,  4 / 6, 6 / 6,84,20',4
4,C900 Blue Waterline Pipe (NSF),"4"" DR18 PVC PIPE C900",GASKETED,60,12,720,20',60
4,C900 Blue Waterline Pipe (NSF),"6"" DR18 PVC PIPE C900",GASKETED,28,13,364,20',28
4,C900 Blue Waterline Pipe (NSF),"8"" DR18 PVC PIPE C900",GASKETED, 15 / 20, 8 / 4,200,20',15
8,C900 Blue Waterline Pipe (NSF),"10"" DR18 PVC PIPE C900",GASKETED,16,8,128,20',16
8,C900 Blue Waterline Pipe (NSF),"12"" DR18 PVC PIPE C900",GASKETED, 6 / 8 / 9 / 12, 4 / 4 / 2 / 2,98,20',8
8,C900 Blue Waterline Pipe (NSF),"14"" DR18 PVC PIPE C900",GASKETED,9,8,72,20',9
9,C900 Blue Waterline Pipe (NSF),"16"" DR18 PVC PIPE C900",GASKETED, 4 / 6 / 6 / 9, 2 / 2 / 2 / 2,50,20',6
9,C900 Blue Waterline Pipe (NSF),"18"" DR18 PVC PIPE C900",GASKETED, 4 / 6, 4 / 4,40,20',4
9,C900 Blue Waterline Pipe (NSF),"20"" DR18 PVC PIPE C900",GASKETED,4,8,32,20',4
9,C900 Blue Waterline Pipe (NSF),"24"" DR18 PVC PIPE C900",GASKETED,3,6,18,20',3
5,C900 Blue Waterline Pipe (NSF),"4"" DR25 PVC PIPE C900",GASKETED,60,12,720,20',60
5,C900 Blue Waterline Pipe (NSF),"6"" DR25 PVC PIPE C900",GASKETED,28,12,336,20',28
5,C900 Blue Waterline Pipe (NSF),"8"" DR25 PVC PIPE C900",GASKETED, 15 / 20, 8 / 4,200,20',15
9,C900 Blue Waterline Pipe (NSF),"10"" DR25 PVC PIPE C900",GASKETED,16,8,128,20',16
9,C900 Blue Waterline Pipe (NSF),"12"" DR25 PVC PIPE C900",GASKETED, 6 / 8 / 9 / 12, 4 / 4 / 2 / 2,98,20',8
9,C900 Blue Waterline Pipe (NSF),"14"" DR25 PVC PIPE C900",GASKETED,9,8,72,20',9
9,C900 Blue Waterline Pipe (NSF),"16"" DR25 PVC PIPE C900",GASKETED, 4 / 6 / 6 / 9, 2 / 2 / 2 / 2,50,20',6
9,C900 Blue Waterline Pipe (NSF),"18"" DR25 PVC PIPE C900",GASKETED, 4 / 6, 4 / 4,40,20',4
9,C900 Blue Waterline Pipe (NSF),"20"" DR25 PVC PIPE C900",GASKETED,4,8,32,20',4
9,C900 Blue Waterline Pipe (NSF),"24"" DR25 PVC PIPE C900",GASKETED,3,9,18,20',3
,, Green Sanitary Gravity Sewer Pipe (No NSF),,,,,,
4,Green Sanitary Gravity Sewer Pipe (No NSF),"4"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED,84,18,1512,14',84
4,Green Sanitary Gravity Sewer Pipe (No NSF),"6"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED,40,18,720,14',40
7,Green Sanitary Gravity Sewer Pipe (No NSF),"8"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED, 30 / 36, 6 / 6,396,14',30
7,Green Sanitary Gravity Sewer Pipe (No NSF),"10"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 15, 9 / 9,243,14',12
7,Green Sanitary Gravity Sewer Pipe (No NSF),"12"" SDR26 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 16, 6 / 6,168,14',12
4,Green Sanitary Gravity Sewer Pipe (No NSF),"4"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED,84,18,1512,14',84
4,Green Sanitary Gravity Sewer Pipe (No NSF),"6"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED,40,19,720,14',40
6,Green Sanitary Gravity Sewer Pipe (No NSF),"8"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED, 30 / 36, 6 / 6,396,14',30
9,Green Sanitary Gravity Sewer Pipe (No NSF),"10"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 15, 9 / 9,243,14',12
9,Green Sanitary Gravity Sewer Pipe (No NSF),"12"" SDR35 PVC PIPE GRAVITY SEWER",GASKETED, 12 / 16, 6 / 6,168,14',12
