skuId,productTypeId,bundleId,productTypeActive,productType,productTypeLengthStick,skuActive,size,skuPopularityScore,bundleActive,eagleSticksPerBundle,originalBundlesPerTruckload,eagleSticksPerTruckload,Eagle-%_LOAD_Per_Lift,bundleDescription,sku
skuId_19,productTypeId_4,bundleId_12,Y,PVC PIPE SCH 40 - BELL END,20',Y,"10""",5.0,Y,12.0,12.0,144.0,8.3,"10"" PVC PIPE SCH 40 - BELL END, 12 - 12","10"" PVC PIPE SCH 40 - BELL END"
skuId_20,productTypeId_4,bundleId_9,Y,PVC PIPE SCH 40 - BELL END,20',Y,"4""",7.0,Y,57.0,12.0,684.0,8.3,"4"" PVC PIPE SCH 40 - BELL END, 57 - 12","4"" PVC PIPE SCH 40 - BELL END"
skuId_8,productTypeId_4,bundleId_6,Y,PVC PIPE SCH 40 - BELL END,20',Y,"2""",1.0,Y,105.0,24.0,2520.0,4.2,"2"" PVC PIPE SCH 40 - BELL END, 105 - 24","2"" PVC PIPE SCH 40 - BELL END"
skuId_9,productTypeId_4,bundleId_2,Y,PVC PIPE SCH 40 - BELL END,20',Y,"3/4""",7.0,Y,400.0,24.0,9600.0,4.2,"3/4"" PVC PIPE SCH 40 - BELL END, 400 - 24","3/4"" PVC PIPE SCH 40 - BELL END"
skuId_21,productTypeId_5,bundleId_52,Y,PVC PIPE SCH 80 - BELL END,20',Y,"2 1/2""",12.0,Y,73.0,24.0,1752.0,4.2,"2 1/2"" PVC PIPE SCH 80 - BELL END, 73 - 24","2 1/2"" PVC PIPE SCH 80 - BELL END"
skuId_22,productTypeId_5,bundleId_54,Y,PVC PIPE SCH 80 - BELL END,20',Y,"4""",16.0,Y,57.0,12.0,684.0,8.3,"4"" PVC PIPE SCH 80 - BELL END, 57 - 12","4"" PVC PIPE SCH 80 - BELL END"
skuId_23,productTypeId_5,bundleId_46,Y,PVC PIPE SCH 80 - BELL END,20',Y,"1/2""",14.0,Y,360.0,36.0,12960.0,2.8,"1/2"" PVC PIPE SCH 80 - BELL END, 360 - 36","1/2"" PVC PIPE SCH 80 - BELL END"
skuId_24,productTypeId_5,bundleId_48,Y,PVC PIPE SCH 80 - BELL END,20',Y,"1""",11.0,Y,280.0,20.0,5600.0,5.0,"1"" PVC PIPE SCH 80 - BELL END, 280 - 20","1"" PVC PIPE SCH 80 - BELL END"
skuId_25,productTypeId_5,bundleId_57,Y,PVC PIPE SCH 80 - BELL END,20',Y,"10""",8.0,Y,12.0,12.0,144.0,8.3,"10"" PVC PIPE SCH 80 - BELL END, 12 - 12","10"" PVC PIPE SCH 80 - BELL END"
skuId_26,productTypeId_5,bundleId_51,Y,PVC PIPE SCH 80 - BELL END,20',Y,"2""",16.0,Y,105.0,24.0,2520.0,4.2,"2"" PVC PIPE SCH 80 - BELL END, 105 - 24","2"" PVC PIPE SCH 80 - BELL END"
