productTypeActive,productTypeDisplayOrder,,productType,productTypeLengthStick,sizeActive,size,sizePopularityScore,bundleActive,sticksPerBundle,bundlesPerTruckload,sticksPerTruckload,Eagle-%_LOAD_Per_Lift
Y,340,y,"4"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"4"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 84 - 18",12,Y,84,18,1512,8.3
Y,345,y,"6"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"6"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 40 - 18",13,Y,40,18,720,5.6
Y,350,y,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 30 - 6",14,Y,30,6,396,7.5
Y,355,y,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 36 - 6",14,Y,36,6,396,9.1
Y,360,y,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 12 - 9",10,Y,12,9,243,5.9
Y,365,y,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 15 - 9",10,Y,15,9,243,6.2
Y,370,y,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 12 - 6",13,Y,12,6,168,7.1
Y,375,y,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14',Y,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 16 - 6",13,Y,16,6,168,9.5
Y,,,,,Y," - ,  - ",,Y,,,,
Y,400,y,"1/2"" PVC PIPE  SCH 80 - BELL END",20',Y,"1/2"" PVC PIPE  SCH 80 - BELL END, 360 - 36",14,Y,360,36,12960,2.8
Y,405,y,"3/4"" PVC PIPE  SCH 80 - BELL END",20',Y,"3/4"" PVC PIPE  SCH 80 - BELL END, 400 - 24",15,Y,400,24,9600,4.2
Y,410,y,"1"" PVC PIPE  SCH 80 - BELL END",20',Y,"1"" PVC PIPE  SCH 80 - BELL END, 280 - 20",11,Y,280,20,5600,5
Y,415,y,"1 1/4"" PVC PIPE  SCH 80 - BELL END",20',Y,"1 1/4"" PVC PIPE  SCH 80 - BELL END, 220 - 24",14,Y,220,24,5280,4.2
Y,420,y,"1 1/2"" PVC PIPE  80 - BELL END",20',Y,"1 1/2"" PVC PIPE  80 - BELL END, 180 - 24",15,Y,180,24,4320,4.2
Y,425,y,"2"" PVC PIPE  SCH 80 - BELL END",20',Y,"2"" PVC PIPE  SCH 80 - BELL END, 105 - 24",16,Y,105,24,2520,4.2
Y,430,y,"2 1/2"" PVC PIPE  SCH 80 - BELL END",20',Y,"2 1/2"" PVC PIPE  SCH 80 - BELL END, 73 - 24",12,Y,73,24,1752,4.2
